28/11/2021;3;98265142H;21F;202111281300936;34323424P
28/11/2021;2;89764273R;15A;202111281451578;70424490P
28/11/2021;3;89764273R;41B;202111281451578;70424490P
28/11/2021;1;89764273R;76D;202111281451578;70424490P
28/11/2021;1;65342877T;51D;202111281454375;62514423S
28/11/2021;3;65342877T;54E;202111281454375;62514423S
28/11/2021;2;56241398H;41B;202111281454465;98254126F
28/11/2021;1;56241398H;69R;202111281454465;98254126F
28/11/2021;1;56241398H;54E;202111281454465;98254126F
28/11/2021;2;56241398H;76D;202111281454465;98254126F
28/11/2021;1;64534217U;74H;202111281456133;87245142G
28/11/2021;1;64534217U;76D;202111281456133;87245142G
28/11/2021;2;64534217U;82G;202111281456133;87245142G
28/11/2021;1;32645150B;83G;202111281844874;02786888R
28/11/2021;2;32645150B;54G;202111281844874;02786888R
29/11/2021;1;65342877T;85G;202111290929987;70424490P
29/11/2021;2;65342877T;45D;202111290929987;70424490P
29/11/2021;4;65342877T;74H;202111290929987;70424490P
29/11/2021;1;56241398H;76D;202111290933493;70424432E
29/11/2021;3;56241398H;54G;202111290933493;70424432E
29/11/2021;2;56241398H;45D;202111290934254;70424432E
29/11/2021;2;76352498J;21F;202111290935349;62514423S
29/11/2021;1;76352498J;56I;202111290935349;62514423S
29/11/2021;1;76352498J;54G;202111290935349;62514423S
29/11/2021;1;76352498J;53D;202111290935349;62514423S
29/11/2021;1;64534217U;02E;20211129093832;70424432E
29/11/2021;2;64534217U;21F;20211129093832;70424432E
